wishes, होगी,
now जब-तब
direction निर्देशन
growth वृद्धि
yet. कार्य
Pradesh). (अब
contained शास्‍त्र
closed बंद
previously पिछ्ड़ा
lagging पिछ्ड़ा
transfer अंतरण
Shahrukh शाहरूख
philosopher साहित्यकार,
Salman's शाहरूख
growth. वृद्धि
beekeeping मधुमक्खी
destiny. पलट
Punjabi पंजाबी
leadership नेतृत्व
CSH-5: सीएसएच-5:
growing वृद्धि
Dilip दिलीप
70-75 75
offspring आनुवंशिकी
After हरितक्रांति
stopgap कामचलाऊ
septal वंशीय
walks रात्रि
Parineeti's लेडीज
Whatever, हो,
depend रहेगी
bee मधुमक्खी
oils तेलों
Compounds तेलों
M-45 एम-45
oils. तेलों
veg मच्छी
revolution हरितक्रांति
authors, साहित्यकार,
cattles 116
assumed माना
daily प्रतिदिन
tell. किस्सा
arouse पाया,
older पुराना
threats. धमकियों
whereby अंतरण
20 बीस
2,500 2,500
skinned. धुली
fetival सेक्रेन्यी
skinned धुली
Bio जैव
choti चोटी
EC ईसी)
superstitions अंधविश्‍वासों
enjoys रमता
Go जाओ
everyday प्रतिदिन
dangerous. भयानक
M-45. एम-45
Conversion रूपान्तरण'
wealth धन
tasty. पुराना
bulls पुट्ठे
signature पैरेंटस
sand's रेत
grains. हरितक्रांति
Raychur रायचूर
BT बीटी
author. गढ़ा
revolution. हरितक्रांति
natural प्राकृतिक
answer दोगे
unharmed सही-सलामत
that? महसूस
wings आठ-आठ
Crore 51
saves प्रतिदिन
parts हिस्से
5000 5000
(foundation) (फाउंडेशन)
ready पककर
shut बंद
predefined पोलैण्ड
wife, व‍क्त
1885-86 1885-86
table टेबल
ripening पककर
Hazaribagh हजारीबाग
dirty शाहकार
ways तरीके
disgrace? डरती
Cloudy बदली
fades मुरझा
frigian, फ्रीजियन,
knowing करूँगी।
room गर्भवती
designed? मेहंदी
Achhut कन्या,
kanya, कन्या,
(now (अब
5% बमुश्‍किल
long लम्बा
flour बेसन
1 हिस्से
occasions सगुन
kharif, खरीफ,
We देखना
Gopal गोपाल
unit यूनिट
workable व्यवहार्य
fat लेंगे
realizes महसूस
Ranichauri रानीचौरी
rainfall. बाड़ी
continue रहेगी
vegetables. शाक-सब्जियों
slanting पुट्ठे
Mahabharata महाभारत
missed. महसूस
diseases व्याधियों
gets पककर
Akbar अकबर
pregnant गर्भवती
sheds. खिड़कियाँ
run, चलाया
Rachel रशेल
Rachael रशेल
twenty बीस
mud कीचड़
Mao माओ
withers. मुरझा
maker's पुनरावलोकन
worry निकलो,
hear सुनना
s. नीलगिरीज़
extracted निकाला
shleshmi. श्‍लेष्मी
Ranichauri. रानीचौरी
share. हिस्से
ways, बिछड़ते
discussion, शास्‍त्र
prior पककर
Garba गरबे
iconography शास्‍त्र
factories मुट्‍ठी-भर
weeks. सप्‍ताह
wouldn't करोगे
Uttaranchal उत्तरांचल
soldiers सैनिकों
anchoring संभालेंगे।
escaped? बच
leave. सुनना
coordinator सामंजस्य
week. सप्‍ताह
76 76
agricultural-departments कृषि-विभागों
their इनकी
Amaltas, अमलतास,
Intervention एस)
Sixth पष्‍टम
quintal क्‍विन्टल
Roji रोज़ी
month सप्‍ताह
Roji. रोज़ी
Henry 1979
retained रहेगी
techniques तकनीकों
leadership, नेतृत्व
plants, पौधों,
stock. बफर
will होगा
lights. लाईटें
Its इनकी
Mohansingh. मोहनसिंह
Heros, हीरोज
fascinating. भीनी
Huge बीटी
stop रोक
because क्योंकि
becoming पककर
proportion)is सामंजस्य
calyptus "केलिप्टस"
Milk. गायें
weeks सप्‍ताह
Because क्योंकि
attack, मुरझा
different अलग-अलग
technology तकनीकों
1979 1979
Their इनकी
transplanting डाले
draining डाले
weak सप्‍ताह
patented पेटेंटीकृत
provide कराने
Darupadi चीर
dealing समकक्ष
gifts. बिछड़ते
yaaro यारो'
technologies तकनीकों
boiling उबलते
listen? सुनना
Knead बने
reality वास्तविक
pharmacuticals फार्मास्यूटिकल्स,
determined अलग-अलग
response. रेस्पोंन्स
wilts. मुरझा
seizing अन्वेषण
wealth. धन
soon जल्दी
ripen पककर
comedy कॉमेडी
crops. फ़सल
Comedy कॉमेडी
techniques. तकनीकों
action रोक
slept? सोया?
Agreed माना
vendors. आंदोलनों
Amemwa मे'म्वा
by-product जाता,
early जल्दी
chickpeas, बेसन
benefitted होगा
dwarf बौनी
food भोजन
credit. अल्पकालीन
perishes जल्दी
Kabir कबीर
Bobo. बोबो
psychologist बोबो
filmed फ़िल्माई
get प्राप्‍त
exploration अन्वेषण
Malaria मलेरिया
week सप्‍ताह
piece टुकड़ें
ventures उपक्रमों
motivation प्रेरणा
Laterite लैटराइट
fifty 'पचास
130-145 130-145
food. भोजन
achieved प्राप्‍त
been हुआ
current मौजूदा
financially व्यवहार्य
yields प्राप्‍त
fast जल्दी
resistant अवरोधी
Oil प्राप्‍त
present मौजूदा
Livestock पशुधन,
real वास्तविक
Nath रविन्द्रनाथ
commended. हुआ
ailment. व्याधियों
reduced. हुआ
evaporation उड़ने
olives सन्तरे
compresses ग्रंथियों
gland ग्रंथियों
actual वास्तविक
different. अलग-अलग
Asif's लव
Currently मौजूदा
lenders आढ़ती
consumed. खाये
cab निकाला
ho हो'
obtained प्राप्‍त
quickly जल्दी
cloth. टुकड़ें
team, टीम,
leaf-spot अवरोधी
oil-seeds तिलहन
entertaining. दिखता।
plateaus पठारों
fertilizer? डाले
fifth पाँचवाँ
Kisama गांव।
obtained. प्राप्‍त
top-ten टॉप-10
garbage कचरा
demonstrated अलग-अलग
soft. मुलायम
Laila, लैला!
placement उत्तमतर
increased, ठहराव
source. स्‍त्रोता
30-35 खरीदनी
Shabana शबाना
ambiance बच्चे।
tall. लम्बा
fast. जल्दी
muck कीचड़
happens, व्याधियों
protected व्याधियों
put डालना
Boro बोरो
vacate कराने
pickles नीबू
dull उदासीन
Chayna 180-190
wildest नाल
Akabar अकबर
presumptions झलक
products उत्पादनों
maps मानचित्रों
Food खाद्य
food खाद्य
maps. मानचित्रों
weighed तौला
claims दावे
earlier जल्दी
Rafi रफी
tolerance सहिष्णुता
edible खाद्य
aslo. थोड़े,
performance अभिनय
presenting अंदाज़
units. इकाईयों
lull ठहराव
rain. लगाई
Ari आरी
oilseeds. तिलहन
cost उत्पादनों
animation विज्ञापन,
snowfall पाले)
pathetic दयनीय
10.4 10.4
pits गड्‍ढों
menthol मेंथा
Menthol मेंथा
46 46
saves लगाई
Kunsaa. कुंसआ
final. खेले
exporting. है,फिर
shall बताऊँ,
Samar समर
Samar. समर
BC 300-400
lacking खातिरदारी
hospitality खातिरदारी
varies. अलग-अलग
rest शेष
remaining शेष
deplorable. दयनीय
Marxists मार्क्सवादियों
happiness. निकालो
tamarind टैमेरिन्डस
boon वरदान
half-ripe अविरल
Sachidanand सच्चिदानन्द
iron लोहे
Killed 'नो
inspiration प्रेरणा
productions उत्पादनों
iron. लोहे
Baburao भुलाया
forgotten. भुलाया
Economic इकोनॉमिक
celebrity's सेलेब्रिटी
claims. दावे
husk अलग-अलग
foods खाद्य
thursday थर्सडे
dhaariwala वाला'
genome चने
gram चने
shattered. धज्जियां
legumes फलियां
chelseadomia स्टीकारनिस
vulnerability सुभेद्यता
weeks. हफ्तों
boon. वरदान
replete परिपूर्ण
Gafur टैक्सी
Mulayam मुलायम
didn't समझे
72 72
sight झलक
Jamshedji जमशेदजी
throne गद्दी
brilliant अनोखा
deserving. अनोखा
Refined दुहरे
bamboo बाँस
unique अनोखी
rubbish. अनाप-शनाप
amusement. दिखाई।
Giving लोहे
52,516 516
attributes विशेषताएं
decide उत्पादनों
maize. मक्के
Leader 'लीडर'
rent, पत्तों,
epoch-maker युगप्रवर्तक
phosphorus फासफोरस
creates अनोखी
channels नलिकाओं
emerge गड्‍ढों
Anarkali अनारकली
Anarkali. अनारकली
mere झलक
employments जायेंगे
sawing. डालना
watery. मुलायम
728 728
tour, टूर
chickpea चने
integral अंग
springs. सोतों
harsh सीमाबन्धन
allocation Allocation)
ginger अदरक,
breathing श्वसन
brief संक्षेप
carburetor कचरा
painting पेंटिंग
wing अंग
O. ओ.
Volatile ओ.
Roko रोको'
peo जायेंगे
Vijaylaxmi विजयलक्ष्मी
weevil घुनते
Planning हवादार
center. मृतक
Australia आस्ट्रेलिया
realistic यथार्थवादी
responsible. आंच
Kher खेर
Rest शेष
cropping बताए
Australia. आस्ट्रेलिया
fields. स्वतन्त्र
weeding-digging. पास-पास
upliftment उत्थान
hustle आनन-फानन
put. डालना
objecting जसवंत
Jaswant. जसवंत
2002-2003. 2002-03
foreigners' फिरंगियों
Nalini मिस
Lets चलो।
miserable. दयनीय
paints पेंटिंग
painting. पेंटिंग
Bihar. विचार-विमर्श
Painting पेंटिंग
goal. करवाना
Neemex नीमेक्स
Thus तरह
come, आइए।
states राज्यों
namely चने
kinds तरह
cold ठण्डे
like तरह
consisting पेंटिंग
Matrikeria मैट्रिकेरिया
opposite. जायेंगे
ways. तरह
richest बढ़ी
ejection स्राव
cons, मांगता
teeth. दाँतों
Iron लोहे
black काला
joy, अच्छी-अच्छी
bark, बेलनाकार,
circular बेलनाकार,
say, बताऊँ,
mud गिली
neutral निष्प्रभावी
Bhalachandra भालचंद्र
Prabhaakar प्रभाकर
kind तरह
dollars डॉलर
Breathing श्वसन
vlosam व्लोसम
states. राज्यों
Prabhakar प्रभाकर
Teliflex टेलीफ्लेक्स
respiration श्वसन
way तरह
